title,type,status
soup is good food,music,hiatus
blender basics,video,hiatus
zpaint,app,
freelancer,game,hiatus
pool party,game,hiatus
website,web,maintenance
solitasks,app,hiatus
idea guy,video,
core aesthetics,video,
spotify utility,web,
devilshyt phonk,music,
dreamcore playlist,video,
human error,series,hiatus
show show,series,
meme generator,web,hiatus
arduino beeper,iot,hiatus
audio-color-math visualizer,web,
tiny robot sorting game,game,
opengl data visualizer,app,
asmr dream vlog,video,
desktop mascot,app,
procedural butterfly,app,